 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
190,340,4795.4971,1684.9216,1403,9750,340,4354.4175,1576.6100,1140,8926
191,340,4645.1265,1672.7582,1247,10238,340,4291.5649,1608.3782,1252,9233
192,340,4756.7617,1726.1284,1287,9743,340,4397.2295,1610.8918,1285,9633
193,340,4665.0117,1721.0010,1393,9683,340,4221.3237,1536.9640,1192,9946
194,340,4737.8853,1710.8933,1353,9376,340,4343.8618,1611.7885,1196,9889
195,340,4645.5293,1723.4565,1296,9517,340,4286.2090,1549.6591,1211,9666
196,340,4747.9116,1748.8815,1517,9994,340,4391.9502,1591.1748,1246,9363
197,340,4626.7646,1731.0526,1465,9570,340,4253.2529,1575.4707,1188,9006
198,340,4761.9292,1721.5566,1590,9606,340,4361.2764,1562.8260,1314,9279
199,340,4587.0796,1673.8386,1352,9009,340,4265.2295,1534.6084,1296,9447
200,340,4694.6792,1715.6276,1545,9520,340,4319.2295,1563.8746,1255,9270
